ID_hostess:hostess,waitress,hairdresser,diner,bartender,showbiz,caterer,waiter,emcee,barmaid,catered,saucy,swanky,restaurateur,twinkies
ID_fireman:fireman,firefighter,janitor,driscoll,blackmailer,crewman,medic,hires,mechanic,chauffeur,cabbie,watchman,paramedic,vetter,gunning,
ID_nurse:nurse,nurses,pediatrician,counselor,therapist,pregnant,nursing,surgeon,paramedic,physician,midwife,psychiatrist,toddler,teacher,patient,
ID_waitress:waitress,bartender,waiter,hairdresser,housekeeper,homemaker,receptionist,diner,housewife,schoolteacher,hostess,prostitute,mom,janitor,fiance,
ID_policeman:policeman,soldier,gunman,fatally,policemen,assailant,gunned,wounding,attacker,killing,assailants,injuring,guards,attackers,police
ID_nursery:nursery,nurseries,cottage,orchard,barn,sunnyside,vine,playground,ivy,elms,sheds,gardening,heronswood,tending,farm,
ID_judge:judge,court,attorney,prosecutor,appeals,lawyer,justice,jury,prosecution,judges,magistrate,defendant,supreme,hearing,case,
ID_professor:professor,harvard,associate,sociology,emeritus,psychologist,yale,researcher,lecturer,scientist,sociologist,scholar,studied,university,economics,
ID_teacher:teacher,student,taught,teaches,teaching,graduate,teachers,classmate,tutor,schoolteacher,counselor,colleague,master,school,mentor,
ID_plumber:plumber,janitor,electrician,tradesman,roofer,newspaperman,landscaper,cabdriver,welder,bricklayer,curmudgeon,tinkerer,layabout,woodworker,storekeeper,
ID_technician:technician,technologist,mechanic,engineer,technicians,dentist,paramedic,orthopedic,instructor,lab,specialist,internist,programmer,contractor,welder,
ID_driver:driver,car,driving,drivers,taxi,cab,truck,vehicle,mechanic,motorbike,bicycle,cart,drove,rider,motorcycle,
ID_soldier:soldier,serviceman,wounded,soldiers,guards,prisoner,dead,army,captured,man,slain,victim,sergeant,platoon,escaped,
ID_postman:postman,paperboy,bagman,milkman,charlatan,buffoon,bloodsucker,exclaims,cujo,curmudgeon,glorified,knucklehead,drunkard,scoundrel,bookworm,
ID_lawyer:lawyer,attorney,judge,colleague,lawyers,counsel,testified,attorneys,justice,asked,prosecutor,defendant,argued,roberts,pleaded,
ID_entrepreneur:entrepreneur,brainchild,pioneer,philanthropist,businessman,millionaire,restaurateur,innovator,co-founder,multimillionaire,founder,businesswoman,onetime,consultant,salesman,
ID_consultant:consultant,consulting,specializes,associate,worked,co,managing,expert,consultants,lobbyist,specialist,psychologist,specializing,hired,marketing,
ID_banker:banker,stockbroker,businessman,accountant,financier,trader,onetime,salesman,dealer,entrepreneur,restaurateur,realtor,colleague,broker,billionaire,
